Data Set      1=Norwich                0= Peterborough ;Tno ;Site ;Hard Standing Index % ;Species ;Species Code ;Age Class ;Age Index 1=Y 2=SM 3=EM 4=M  ;Ht (m) ;dbh (mm) ;dbh (m) ;Age estimate ;Clearance Ht (m) ;Crown Depth (m) ;Pruning Index 5 = pruned within 5yrs  10 pruned between 5 and 10yrs ;Type of Prunning None= 0 CR= 1 Other = 2 Both = 3 ;N ;E ;S ;W ;Total N,S,E,W Radial Crown Spread (m) ;Average Radial Crown spread (m) ;Adjustment diameter ;Total Mean Radial Crown Spread (m) ;Crown Diameter (m) ;Grid Reference ;Superfical Geology From British Geological Survey Geology of Britain Viewer ;Soil Code 1=sand and gravel 2= Clay 3=silt ;Notes ;Ratio Crown diameter/stem diameter ;HR ;Stem diameter Jan 2017 (mm) ;2yr dia gain (mm) ;Annual Girth Increment (mm) ;Predicted crown diamet using combined formulla ;Difference ;% Variation ;Predicted Ratio using  Combine formula ;Predicted Crown Diameter ;Diference ;% variation
1;1;Pilling park   ;80;Oak ;1;M ;4;19;760;0,76;107;4,3;14,7;5;3;3,9;7,6;8,1;5,8;25,4;6,4;0,38;6,7;13,5;TG 25342 08875 ;Crag group sand and gravel ;1;Hard standing in park ;17,71; ;770;10;5;15,68;-2,22; ;19,78;15,03;-1,57;0,01
1;2;Pilling park   ;80;Oak ;1;M ;4;15,1;620;0,62;88;3,4;11,7;5;3;4,6;7,6;4,2;5,9;22,3;5,6;0,31;5,9;11,8;TG 25344 08893 ;Crag group sand and gravel ;1;Hard standing in park ;18,98; ;626;6;3;13,83;-2,06; ;21,54;13,36;-1,59;0,01
1;3;Pilling park   ;60;Oak ;1;M ;4;22,8;880;0,88;124;5;17,8;5;1;7,3;9,3;9,5;11,7;37,8;9,5;0,44;9,9;19,8;TG 25339 08909 ;Crag group sand and gravel ;1;Hard standing in park ;22,48; ;884;4;2;16,98;2,8; ;18,83;16,57;3,21;0,01
1;4;Guerney Road Mousehold ;0;Oak ;1;EM ;3;12,3;350;0,35;32;1,7;10,6;5;1;6,1;6;6,3;6,1;24,5;6,1;0,175;6,3;12,6;TG24431 10125 ;Sheringham Cliffs Formation - Sand And Gravel  ;1; ;36; ;380;30;15;9,24;3,36; ;26,95;9,43;3,17;0,01
1;5;Guerney Road Mousehold ;0;Oak ;1;EM ;3;11,2;300;0,3;27;2,8;8,4;5;1;3,5;3,6;4,5;2,9;14,5;3,6;0,15;3,8;7,6;TG24431 10125 ;Sheringham Cliffs Formation - Sand And Gravel ;1; ;25,17; ;315;15;7,5;8,24;-0,69; ;28,24;8,47;-0,92;0,01
1;6;Guerney Road Mousehold ;0;Oak ;1;EM ;3;14,2;340;0,34;31;5,5;8,7;5;1;5,4;5,2;3,9;3,7;18,2;4,6;0,17;4,7;9,4;TG24431 10125 ;Sheringham Cliffs Formation - Sand And Gravel ;1; ;27,76; ;360;20;10;9,04;0,4; ;27,2;9,25;0,19;0,01
1;7;Guerney Road Mousehold ;0;Oak ;1;EM ;3;10,7;220;0,22;20;2,25;8,45;5;1;3,5;3,2;2,2;2,1;11;2,8;0,11;2,9;5,7;TG24431 10125 ;Sheringham Cliffs Formation - Sand And Gravel ;1; ;26; ;261;41;20,5;6,55;-0,83; ;30,5;6,71;-0,99;0,01
1;8;Guerney Road Mousehold ;30;Oak ;1;M ;4;16,2;590;0,59;83;3,5;12,7;5;1;7,8;8,3;8,6;9;33,7;8,4;0,295;8,7;17,4;TG24431 10125 ;Sheringham Cliffs Formation - Sand And Gravel ;1;Next to car park ;29,56; ;604;14;7;13,39;4,05; ;22,01;12,99;4,45;0,01
1;9;Guerney Road Mousehold ;0;Sycamore ;2;M ;4;22,1;820;0,82;86;3,3;18,8;0;0;11,1;4,3;7,9;9,4;32,7;8,2;0,41;8,6;17,2;TG24431 10125 ;Sheringham Cliffs Formation - Sand And Gravel ;1; ;20,94; ;833;13;6,5;16,36;0,81; ;19,24;15,78;1,39;0,01
1;10;Guerney Road Mousehold ;0;Sycamore ;2;M ;4;20,1;680;0,68;71;3,59;16,51;5;1;4,6;7,6;9,6;7,7;29,5;7,4;0,34;7,7;15,4;TG24431 10125 ;Sheringham Cliffs Formation - Sand And Gravel ;1; ;22,69; ; ; ; ;14,67;0,76; ;20,7;14,08;1,35;0,01
